source_file,title,authors,year,program,adviser,keywords
associated-factors-tuberculosis-among-constituents-selected-2023.pdf,"ASSOCIATED FACTORS OF TUBERCULOSIS AMONG CONSTITUENTS IN SELECTED BARANGAYS OF NABUA, CAMARINES SUR",Jorelyn S. Arnaiz; Ma.Kiziah D. Mata; Mary Grace T. Regaspi,2023,BSN,,
awareness-expanded-newborn-screening-program-women-2024.pdf,"AWARENESS ON EXPANDED NEWBORN SCREENING PROGRAM OF WOMEN OF REPRODUCTIVE AGE IN BARANGAY BULUANG BAAO, CAMARINES SUR",Arianne Jean A. Blaza; Coleen Angelique Q. Montenegro; Franchezka S. Portacio; Sylvia Eloiza C. Ramizares; Mae Belle D. Surwez,2024,BSM,,
bato-farmland-geolocation-mapping-system-2023.pdf,BATO FARMLAND GEOLOCATION AND MAPPING SYSTEM,Junel R. Joven; Fernando P. Pasadilla; Julius M. Zaballa,2023,BSIT,,
behavioral-values-portrayed-student-nurses-camarines-2023.pdf,"BEHAVIORAL VALUES PORTRAYED BY THE STUDENT NURSES AT CAMARINES SUR POLYTECHNIC COLLEGES NABUA, CAMARINES SUR",Al Piolo V. Corporal; Kaye Eleanor C. Curtan; Fritz Anthony A. Ramos,2023,BSN,"Lorna N. Vibares, M.A.N.",
digital-initiatives-academic-libraries-challenges-benefits-2025.pdf,DIGITAL INITIATIVES IN ACADEMIC LIBRARIES: CHALLENGES AND BENEFITS ENCOUNTERED BY LIBRARIANS,Mary Grace V. Matucad; Junel Earl Clark P. Gorgonia; Allyson B. Divinasflores,2025,BLIS,,
awareness-knowledge-engineering-students-elsevier-knovel-2025.pdf,AWARENESS AND KNOWLEDGE OF ENGINEERING STUDENTS ON ELSEVIER KNOVEL ENGINEERING,Erna P. Cayab; Mary Grace C. Boris; Ma. Christina N. Cuarteros,2025,BLIS,,
planning-practices-challenges-academic-libraries-library-2025.pdf,PLANNING PRACTICES AND CHALLENGES OF ACADEMIC LIBRARIES IN LIBRARY RESOURCES AND SERVICES,Marielle Angielene O. Hona; Ma. Merlyn L. Fortuno; Jemboy P. Tataro,2025,BLIS,,
conservation-preservation-heritage-sites-ligao-city-2024.pdf,"CONSERVATION AND PRESERVATION OF HERITAGE SITES IN LIGAO CITY, ALBAY",Ma. Michaela C. Nagales; Mary Rose R. Neverio; Alexis B. Roncesvalles,2024,BSTM,"Theddah D. Nacional, Mba",
web-based-iriga-city-public-library-management-2023.pdf,WEB-BASED IRIGA CITY PUBLIC LIBRARY MANAGEMENT SYSTEM WITH QR TECHNOLOGY,Darren P. Camila; Alliyah Nicole A. Daban; Maria Erika C. Odiada,2023,BSIT,,
labbs-lamination-service-2023.pdf,LABBS LAMINATION SERVICE,Mariel Nicol; Frances Hanna B. Pardiñas; Mary Joy B. Reginales; Jay Ar A. Sentillas; Mark Daniel L. Tungcul,2023,BSENTREP,"Roque B. Cruz Ii, Mba",
plaab-s-snack-house-2023.pdf,PLAAB’s Snack House,Francis R.J. N. Albatana; Ma. Angelica C. Arcos; Brian G. Barandon; Jhonel M. Luhan; Jonalyn T. Paniterce,2023,BSENTREP,"Lalaine M. Lastrollo, Phd",
republic-phili-ppines-camarines-sur-polytechnic-2023.pdf,"Republic of the Phili ppines CAMARINES SUR POLYTECHNIC COLLEGES Nabua, Camarines Sur COLLEGE OF TOURISM, HOSPITALITY, AND BUSINESS MANAGEMENT Bachelor of Science in Entrepreneurship TOFU CORNER ENTERPRISE",Caryl Marc B. Balilla; Rachelle C. Hermilla; Christian Nick B. Lomeda; Rhonalyn A. Taduran; Ma. Salvacion J. Tesnado,2023,BSENTREP,,
some-parameters-generalized-hairy-cycle-its-2025.pdf,Some Parameters of Generalized Hairy Cycle and its Middle Graph,Irene S. Damot,2025,BS,Alex Ralph B. Nieva,
puwag-innovations-labologna-2024.pdf,PUWAG INNOVATIONS’ LABOLOGNA,"Dio, Janella Stephanie B.; Enrile, Nicha Angeline S.; Napucao, Jerome R.; Villamer, Ma. Erica Bench E.",2024,BSENTREP,"Roque B. Cruz Ii, Mba",
pnc-enterprise-2024.pdf,PNC ENTERPRISE,Jonedale Lyndon D. Audal; Nick B. Briones; Clarissa Edlor N. Marmol; Grachelle A. Mayor; Jeehan N. Pontillas; Charlene B. Sabinorio,2024,BSENTREP,,
j3m-s-snack-enterprise-2023.pdf,J3M’s SNACK ENTERPRISE,Mark Joseph B. Benosa; John Kenneth B. Buena; Mark G. Cornelio; Marsie T. Lordan; Edica Lysa D. Molave,2023,BSENTREP,"Roque B. Cruz Ii, Mba",
jl-delicacy-enterprise-2023.pdf,JL DELICACY ENTERPRISE,Christian Nhadzmer O. Badiola; Lemuel B. Ganalon; Jenly V. Luares; John V. Paraños; Jeffrey B. Rebulado; Job Exequil I. Talagtag,2023,BSENTREP,,
manganap-real-estate-web-application-sellers-2023.pdf,MANGANAP: A REAL ESTATE WEB APPLICATION FOR SELLERS AND BUYERS IN CAMARINES SUR,Jayson P. Bergado; Arian S. Bicaldo; Danica A. Jornala; Ma. Jyzelle B. Luzano; Tricia Mae Cathryl B. Roman,2023,BSENTREP,,
college-tourism-hospitality-business-management-bachelor-2024.pdf,*     COLLEGE OF TOURISM. HOSPITALITY. AND BUSINESS MANAGEMENT Bachelor of Science in Entrepreneurship FISH CRAVE,Relan S. Ani; Philip James D. Dino; Mark S. Montenegro; Bryan R. Navales; Anjelo P. Perpetua,2024,BSENTREP,,
priva-nibbles-2024.pdf,PRIVA NIBBLES,Niño S. Abliter; Justine T. Ibarreta; Angella Philline Y. Pantaleon; Clarisse F. Ramizares; Ralf O. Villamer,2024,BSENTREP,,
breadfruit-pasta-2024.pdf,BREADFRUIT PASTA,Ariela Mae C. Badiable; Kristine G. Gapasin; Jhasmine S. Segui,2024,BSHM,"April Mae L. Bantog, Maie",
squash-pizza-2023.pdf,SQUASH PIZZA,Ellahna Faye D. Ilano; Alnie O. Sasota; Kathleen Kaithe T. Toriente; Katherine M. Ventura,2023,BSHM,,
talong-cracklings-2024.pdf,TALONG CRACKLINGS,Jannelle C. Carilo; Monica Grace B. Francia; Justin Kenny L. Fulledo; Jessa Loraine V. Tabagan,2024,BSHM,,
winter-melon-buchi-2024.pdf,WINTER MELON BUCHI,Jenly A. Bermido; Sophia Simoune M. Buenaventura; Kim Allyson N. Manaog; Angeline C. Panizal,2024,BSHM,,
chayote-jam-by-products-2024.pdf,CHAYOTE JAM BY- PRODUCTS,Christine C. Begata; Irene M. Baso; Ernesto S. Buena Jr.; John Paul D. Asay,2024,BSHM,"Michelle L. Junio, Edd",
peanut-pie-2023.pdf,PEANUT PIE,Mae Princess F. Bolivar; Tricia Mae M. Christy; Lysa Mae P. Lagyap; Mary Antonette A. Malco,2023,BSHM,,
pili-pulp-candy-bar-2024.pdf,PILI PULP CANDY BAR,Precious Ann F. Bagayawa; Cristine Joy L. Beriña; Joshua P. Deniña; Joanne E. Parcero,2024,BSHM,,
papaya-by-products-2024.pdf,PAPAYA BY-PRODUCTS,Jaira Rizza B. Beltran Yu; Mark Banjo B. Buena; Iris Diane P. Paz,2024,BSHM,,
pili-pulp-by-products-2023.pdf,PILI PULP BY-PRODUCTS,Jefferson C. Boto; John Eric C. Camu; April Jane I. Corbilla; Jamie Mikaela G. Dalagan; Tya Guiseppe Ocmer,2023,BSHM,"Maruja C. Carilo, Phd",
taro-tart-desiccated-coconut-2024.pdf,TARO TART WITH DESICCATED COCONUT,Jhenrie Anne B. Buban; Han Ingred O. Galicia; John Loyd F. Umali,2024,BSHM,,
flavored-cassava-hopia-2024.pdf,FLAVORED CASSAVA HOPIA,John Z. Pelaez; Gerwin A. Oronan; Bryan M. Albia,2024,BSHM,"Jay Christian M. Fajardo, Mba",
lubi-lubi-chips-2023.pdf,LUBI-LUBI CHIPS,Ryan C. Barbosa; Rusela R. Elpedes; Kressia I. Espinola; Jeffrey G. Felices,2023,BSHM,"Norel Peter M. Illo, Phd",
market-acceptability-production-entrepreneurial-development-services-2024.pdf,MARKET ACCEPTABILITY OF PRODUCTION AND ENTREPRENEURIAL DEVELOPMENT SERVICES AT CAMARINES SUR POLYTECHNIC COLLEGES,Dinnah M. Flores; Gezele Ann L. Modino; Janile O. Pal,2024,BSHM,,
pannacotta-by-products-2024.pdf,PANNACOTTA BY-PRODUCTS,Christine S. Baldoza; Keith Angelyn B. Bondad; Shaft Andrew F. Jardinel,2024,BSHM,,
red-mung-bean-by-product-2024.pdf,RED MUNG BEAN BY-PRODUCT,Mary Kay Yanlou D. Solera; Aniza N. Balbuena; Ma. Irish B. Valenzuela; Kristine Joy Vargas,2024,BSHM,,
winter-melon-pili-candy-2023.pdf,WINTER MELON PILI CANDY,Christine S. Barrameda; Angelica P. Bitonio; Jonathan B. Reyta,2023,BSHM,"Michelle M. Lomeda-Junio, Edd",
rice-puto-dinuguan-fillings-2023.pdf,RICE PUTO WITH DINUGUAN FILLINGS,Rowel Q. Bobis; Jhoan G. Ibias; Vanessa Dayne L. Luzon; Renalen P. Nolasco,2023,BSHM,"Michelle M. Lomeda-Junio,Edd",
tulingan-by-products-2024.pdf,TULINGAN BY-PRODUCTS,"Olos, John Paul S.; Pantaleon, Paolo G.; Sibayan, Jerry Jr. T.",2024,BSHM,,
safety-security-management-practices-resorts-iriga-2023.pdf,SAFETY AND SECURITY MANAGEMENT PRACTICES OF RESORTS IN IRIGA CITY,Ivieh C. Quiroga; Marielle Ann P. Obrero; Maryrose B. Braga; Tiffany C. Mirando,2023,BSHM,,
taro-ice-cream-2023.pdf,TARO ICE CREAM,Llyle Adrien Maurice A. Batacan; Nica Joy Bermido; Vanessa L. Nava; Krystal Gale B. Regala,2023,BSHM,,
guest-satisfaction-airbnb-rinconada-area-2023.pdf,THE GUEST SATISFACTION OF AIRBNB IN RINCONADA AREA,Jolina A. Cascante; Daisy Rose A. Guevara; Messy R. Madrid; Lezly B. Sanchez,2023,BSHM,"Mark Anthony L. Orobia, Mbm",
packaging-ready-to-eat-santol-dish-2024.pdf,PACKAGING READY TO-EAT- SANTOL DISH,Darilyn V. Ayen; Giovanne D. Enrile,2024,BSHM,,
root-crops-tart-2024.pdf,ROOT CROPS TART,"Babol, Jero Bernard A.; Cabaltera, Brian Jasper O.; Naldo, Marie France A.",2024,BSHM,,
level-acceptability-golden-apple-snail-by-products-2023.pdf,LEVEL OF ACCEPTABILITY OF GOLDEN APPLE SNAIL BY-PRODUCTS,John Franco B. Duran; Angelo R. Jardinel; Reivenn Aris P. Pacardo; Melan T. Villamer,2023,BSHM,,
camote-ube-puto-developmental-study-2024.pdf,CAMOTE-UBE PUTO: A DEVELOPMENTAL STUDY,Kimberly S. Baso; Ma. Bianca C. Monte; Felix I. Oaquiera Jr.,2024,BSHM,,
customer-satisfaction-servicescape-hotels-naga-city-2024.pdf,CUSTOMER SATISFACTION ON THE SERVICESCAPE OF HOTELS IN NAGA CITY,Samantha R. Coralde; Yvonne T. Manaog; Anne Melgie M. Vergara,2024,BSHM,"Norel Peter M. Illo, Phd",
breadfruit-dumplings-2024.pdf,BREADFRUIT DUMPLINGS,April Rose P. Belono; Maria Joy R. Bermundo; Meca Jelian M. Cornelio,2024,BSHM,,
molido-by-products-2024.pdf,MOLIDO BY-PRODUCTS,Lady S. Delos Santos; Lyka C. Dipacula; Alyn D. Dizon; Danica M. Garay,2024,BSHM,,
squash-by-products-2024.pdf,SQUASH BY-PRODUCTS,Maiden Eve I. Cepe; Sharlyn I. Ferrer; Dennis L. Villareal,2024,BSHM,,
banana-cheese-tart-2024.pdf,BANANA CHEESE TART,Mark Gerald V. Albar; Chris John B. Quintino; Jivhea M. Royales; Kristine Joy V. Sarto,2024,BSHM,"April Mae L. Bantog, Maie",
factors-affecting-customer-dining-experiences-selected-2024.pdf,FACTORS AFFECTING CUSTOMER DINING EXPERIENCES IN SELECTED ETHNIC RESTAURANTS,Sharmaine B. Bon; Michelle L. Misola; Julia Mae C. Solosa,2024,BSHM,"Jessa C. Brioso, Mihtm",
mamvoron-2024.pdf,MAMVORON,Jason B. Esplana; Jerelyn M. Talagtag; Nephi V. Vargas; Giovanni D. Enrile,2024,BSHM,,
vegan-ice-cream-2024.pdf,VEGAN ICE-CREAM,Anthony L. Climaco; Christian D. Gonzaga; Denise Jilma Vi L. Sanin,2024,BSHM,"Cristina R. Follosco, Mbm",
development-acceptability-calamansi-crinkles-2024.pdf,DEVELOPMENT AND ACCEPTABILITY OF CALAMANSI CRINKLES,"Barra, Jehanne Gwyn; Espinas, Eric; Quitevis, Giovanni Froi; Soribillo, Gilbert",2024,BSHM,"Michelle L. Junio, Edd",
acceptability-kamias-averrhoa-bilimbi-powder-2023.pdf,ACCEPTABILITY OF KAMIAS (AVERRHOA BILIMBI) POWDER,Joshua N. Gabrillo; Sharmaigne Rose D. Ramos; Hannah Joy M. Samson; Hannah Ruth S. Sarto,2023,BSHM,"Angelica P. Regondola, Phd",
honey-ginger-ice-cream-2023.pdf,HONEY GINGER ICE CREAM,"Bato-On, Rosemarie B.; Casulla, Angelica May D.; Ragual, Danica Lili Yvette B.; Relato, Shiela S.",2023,BSHM,,
squash-bread-by-product-2024.pdf,SQUASH BREAD BY-PRODUCT,Marian Mae T. Casaul; Grace T. Bergado; Jonna Mae D. Clerigo,2024,BSHM,,
level-palatability-acceptability-pako-giardiniera-2023.pdf,THE LEVEL OF PALATABILITY AND ACCEPTABILITY OF PAKO GIARDINIERA,Aron Noah B. Amaro; Maria Reygie S. Caballero; Angel E. Del Pilar; Antonette D. Nonato; John Paul M. Occiano,2023,BSHM,,
tofu-banana-blossom-nuggets-2023.pdf,TOFU AND BANANA BLOSSOM NUGGETS,Rica Mae G. Agato; Jonna Fae A. Elcano; Christine Rose D. Tipones; Mary Margaret M. Togores,2023,BSHM,,
service-quality-catering-service-buhi-2023.pdf,SERVICE QUALITY OF CATERING SERVICE IN BUHI,Regine P. Flores; Mary Bernadette V. Pajenago; Kaye Ann E. Roncesvalles; Anamarie C. Vargas,2023,BSHM,,
marketing-tools-strategies-casual-dining-restaurants-2023.pdf,"“MARKETING TOOLS AND STRATEGIES OF CASUAL DINING RESTAURANTS IN BAAO, CAMARINES SUR""",Franz Danica A. Añonuevo; Rica Mae E. Botor; Rochel A. De Torres; Jaro Kishien B. Sinfuego,2023,BSHM,"Roque B. Cruz Ii, Mba",
sitaw-cracklings-2024.pdf,“SITAW CRACKLINGS”,Ma. Donna C. Constante; Trisha Mae L. Arbo; John Patrick G. Bucad; Diana Angela Y. Buquiron,2024,BSHM,,
colllege-tourism-hospitality-business-management-bachelor-2024.pdf,"COLLLEGE OF TOURISM, HOSPITALITY, AND BUSINESS MANAGEMENT Bachelor of Science in Hospitality Management CLAMS BY-PRODUCTS",Bil Conrad D. Mendoza; Joemarie Laynesa; Jhecell S. Fenis; Jonnavel B. Contrata,2024,BSHM,,
jackfruit-piaya-2024.pdf,JACKFRUIT PIAYA,Althea T. Asor; Angelo S. Saulan; Kyla B. Vargas,2024,BSHM,"Jay Christian M. Fajardo, Mba",
